Timestamp,DEM,REP,NPA/Other,Total,DEM %,REP %,NPA/Other %
2026-08-16 17:52:12,724164,843603,223008,1790775,0.40438581061272355,0.4710826318214181,0.12453155756585836
2026-08-16 18:53:28,725707,844255,223287,1793249,0.40468836173894424,0.47079630324623073,0.12451533501482505
2026-08-16 19:52:20,726052,844372,223347,1793771,0.40476292681730275,0.4707245239219499,0.12451254926074733
2026-08-16 22:07:06,726855,844619,223457,1794931,0.4049487139059942,0.4705579211680003,0.12449336492600552
2026-08-16 23:30:20,727530,844852,223623,1796005,0.4050823911960156,0.4704062627888007,0.1245113460151837
2026-08-17 00:22:43,727970,844959,223713,1796642,0.40518367042515985,0.47029903564538733,0.12451729392945284
2026-08-17 01:18:59,728013,844964,223730,1796707,0.40519294464818134,0.47028480436710046,0.12452225098471816
2026-08-17 02:03:30,728019,844964,223730,1796713,0.40519493096560216,0.47028323388320786,0.12452183515118997
2026-08-17 07:55:28,728026,844966,223733,1796725,0.40519612071964267,0.47028120608329044,0.12452267319706689
2026-08-17 09:24:16,729274,846828,224033,1800135,0.4051218380843659,0.47042471814613906,0.12445344376949506
2026-08-17 10:04:05,732818,848811,224769,1806398,0.40567914712040204,0.46989146356450795,0.12442938931509002
2026-08-17 10:57:45,735835,851269,225879,1812983,0.4058697737375364,0.46954053071650426,0.12458969554595933
2026-08-17 11:55:42,739376,854227,226854,1820457,0.406148565991946,0.4692376694423433,0.1246137645657107
2026-08-17 12:59:15,743078,858260,227944,1829282,0.4062129294444487,0.4691786176215586,0.12460845293399268
2026-08-17 13:41:34,738847,858492,226243,1823582,0.4051624769272783,0.4707723590164851,0.12406516405623658
2026-08-17 13:55:26,828250,887987,241587,1957824,0.4230461982282371,0.45355813392827954,0.12339566784348338
2026-08-17 13:59:30,828255,887990,241589,1957834,0.42304659128404143,0.4535573496016516,0.12339605911430693
2026-08-17 15:44:48,831185,890716,242822,1964723,0.42305454763852207,0.4533544932288165,0.12359095913266145
2026-08-17 15:55:40,831408,891087,242862,1965357,0.42303154083456596,0.4533970164199176,0.12357144274551646
2026-08-17 16:58:36,832585,892146,243120,1967851,0.42309351673475276,0.4533605440655822,0.12354593919966501
2026-08-17 17:55:32,833131,892521,243216,1968868,0.4231522885231514,0.4533168297722346,0.12353088170461402
2026-08-17 18:55:40,834017,892980,243370,1970367,0.423280028542906,0.4532049105572718,0.12351506089982221
2026-08-17 19:33:56,830614,890162,242661,1963437,0.4230408207648119,0.4533692703152686,0.12358990891991951
2026-08-17 19:54:05,834807,893270,243487,1971564,0.42342373871707945,0.45307684660503034,0.12349941467789025
2026-08-17 22:03:37,835203,893374,243549,1972126,0.42350387348475704,0.4530004675157672,0.12349565899947569
"Updated at September 21st, 2026 at 8:04am",79,42,31,152,0.5197368421052632,0.27631578947368424,0.20394736842105263
"Updated at September 21st, 2026 at 3:37pm",292,128,134,554,0.5270758122743683,0.23104693140794225,0.24187725631768953
"Updated at September 22nd, 2026 at 8:05am",316,149,150,615,0.5138211382113821,0.24227642276422764,0.24390243902439024
"Updated at September 22nd, 2026 at 11:03am",371,161,177,709,0.5232722143864598,0.22708039492242596,0.24964739069111425
"Updated at September 22nd, 2026 at 5:00pm",485,252,230,967,0.5015511892450879,0.26059979317476734,0.2378490175801448
"Updated at September 22nd, 2026 at 10:52pm",497,256,239,992,0.501008064516129,0.25806451612903225,0.24092741935483872
"Updated at September 23rd, 2026 at 11:02am",550,279,254,1083,0.5078485687903971,0.25761772853185594,0.234533702677747
"Updated at September 23rd, 2026 at 3:00pm",618,321,271,1210,0.5107438016528926,0.2652892561983471,0.22396694214876034
"Updated at September 23rd, 2026 at 3:49pm",664,322,289,1275,0.5207843137254902,0.25254901960784315,0.22666666666666666
"Updated at September 23rd, 2026 at 8:00pm",683,329,296,1308,0.52217125382263,0.2515290519877676,0.22629969418960244
"Updated at September 24th, 2026 at 11:03am",730,354,317,1401,0.5210563882940756,0.25267665952890794,0.22626695217701642
"Updated at September 24th, 2026 at 3:20pm",842,422,357,1621,0.5194324491054905,0.2603331276989513,0.2202344231955583
"Updated at September 24th, 2026 at 7:01pm",892,460,374,1726,0.5168018539976825,0.2665121668597914,0.21668597914252608
"Updated at September 25th, 2026 at 11:02am",933,485,392,1810,0.5154696132596686,0.26795580110497236,0.2165745856353591
"Updated at September 25th, 2026 at 3:06pm",1000,544,415,1959,0.5104645227156712,0.2776927003573252,0.21184277692700357
